# This file was produced by bcftools stats (1.21+htslib-1.21) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  aligned_reads/SRR8906666.unique.annotated.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	aligned_reads/SRR8906666.unique.annotated.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	7877560
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	7387325
SN	0	number of MNPs:	0
SN	0	number of indels:	490235
SN	0	number of others:	0
SN	0	number of multiallelic sites:	28552
SN	0	number of multiallelic SNP sites:	24889
# TSTV, transitions/transversions
#   - transitions, see https://en.wikipedia.org/wiki/Transition_(genetics)
#   - transversions, see https://en.wikipedia.org/wiki/Transversion
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	5335648	2076566	2.57	5328905	2058420	2.59
# SiS, Singleton stats:
#   - allele count, i.e. the number of singleton genotypes (AC=1)
#   - number of transitions, see above
#   - number of transversions, see above
#   - repeat-consistent, inconsistent and n/a: experimental and useless stats [DEPRECATED]
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	3432143	2526125	906018	138869	0	0	138869
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	3432143	2526125	906018	138869	0	0	138869
AF	0	0.990000	3980071	2809523	1170548	355029	0	0	355029
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	30.0	4234	3180	1054	266
QUAL	0	30.1	4363	3244	1119	211
QUAL	0	30.2	4884	3663	1221	230
QUAL	0	30.3	6394	4843	1551	268
QUAL	0	30.4	5239	3764	1475	763
QUAL	0	30.5	3556	2615	941	102
QUAL	0	30.6	3613	2661	952	90
QUAL	0	30.7	3715	2723	992	124
QUAL	0	30.8	3842	2834	1008	145
QUAL	0	30.9	3861	2830	1031	152
QUAL	0	31.0	4193	3141	1052	209
QUAL	0	31.1	4369	3219	1150	196
QUAL	0	31.2	4762	3522	1240	232
QUAL	0	31.3	6118	4615	1503	279
QUAL	0	31.4	5103	3650	1453	451
QUAL	0	31.5	3388	2512	876	120
QUAL	0	31.6	3370	2448	922	89
QUAL	0	31.7	3491	2558	933	138
QUAL	0	31.8	3573	2652	921	191
QUAL	0	31.9	3818	2785	1033	170
QUAL	0	32.0	3997	3027	970	223
QUAL	0	32.1	4174	3094	1080	205
QUAL	0	32.2	4578	3428	1150	220
QUAL	0	32.3	6003	4632	1371	259
QUAL	0	32.4	5074	3623	1451	479
QUAL	0	32.5	3379	2461	918	96
QUAL	0	32.6	3517	2557	960	93
QUAL	0	32.7	3808	2790	1018	164
QUAL	0	32.8	3820	2841	979	179
QUAL	0	32.9	3897	2929	968	174
QUAL	0	33.0	4008	2994	1014	229
QUAL	0	33.1	4207	3112	1095	201
QUAL	0	33.2	4418	3287	1131	236
QUAL	0	33.3	6051	4511	1540	252
QUAL	0	33.4	4682	3390	1292	459
QUAL	0	33.5	3213	2335	878	97
QUAL	0	33.6	3262	2403	859	84
QUAL	0	33.7	3534	2589	945	137
QUAL	0	33.8	3615	2643	972	149
QUAL	0	33.9	3835	2849	986	199
QUAL	0	34.0	3995	2944	1051	231
QUAL	0	34.1	4208	3082	1126	218
QUAL	0	34.2	4471	3297	1174	217
QUAL	0	34.3	5839	4388	1451	253
QUAL	0	34.4	4793	3421	1372	408
QUAL	0	34.5	3219	2379	840	73
QUAL	0	34.6	3230	2369	861	89
QUAL	0	34.7	3389	2494	895	126
QUAL	0	34.8	3395	2530	865	160
QUAL	0	34.9	3647	2725	922	168
QUAL	0	35.0	3802	2812	990	219
QUAL	0	35.1	3808	2873	935	218
QUAL	0	35.2	4366	3269	1097	215
QUAL	0	35.3	5745	4377	1368	271
QUAL	0	35.4	4483	3263	1220	427
QUAL	0	35.5	3020	2201	819	68
QUAL	0	35.6	3130	2269	861	93
QUAL	0	35.7	3422	2518	904	149
QUAL	0	35.8	3681	2730	951	174
